	Total_counts	X	Y	Annotation
Cell_94	732	8525.112070605242	-350.19606649674745	eL4
Cell_95	674	4367.885552096685	-362.9529848013185	eL6-2
Cell_96	446	9874.984245630174	-354.5161568537259	eL4
Cell_97	318	4236.00553303738	-373.7048832271762	eL6-2
Cell_99	202	4009.928921568628	-356.9109477124183	eL5
Cell_100	541	8916.875944641719	-364.5000910498042	eL4
Cell_101	434	3486.9976223499107	-377.9730037646127	eL6-2
Cell_102	205	1196.0749902152645	-356.881252446184	eL4
Cell_103	897	11586.146847890765	-398.0127775515956	eL2/3
Cell_104	272	113.55008371341148	-393.3266555048785	Astro-2
Cell_105	726	11266.302676317118	-366.4395556303652	eL2/3
Cell_106	787	9341.235639880952	-364.4475446428572	eL4
Cell_107	324	9724.855300673924	-398.2109253499223	eL4
Cell_108	293	2213.414953751285	-389.26176772867416	Oligo
Cell_110	456	5937.647169574495	-416.55985105225716	eL6-2
Cell_111	657	563.179523752922	-414.4234716113951	HPC
Cell_113	719	4112.985992586846	-439.3453150590465	eL6-2
Cell_114	524	7674.855403753122	-427.9383339535378	PVALB
Cell_115	207	12637.866247755836	-438.6461563571078	eL6-1
Cell_116	298	1467.2185413188647	-445.3098393155259	Oligo
Cell_117	443	8116.014514348785	-444.1738962472406	eL4
Cell_118	886	7820.841310189557	-448.1179097973709	eL4
Cell_119	363	12177.441651529285	-441.49629338700964	VIP
Cell_121	382	4900.319013164506	-473.9714099085519	eL6-1
Cell_122	340	6866.15373823581	-453.61641433331386	Oligo
Cell_123	443	1275.9749443745768	-453.59915836316145	SST
Cell_124	811	10801.314967767928	-484.07295863550905	SST
Cell_125	908	5641.312541347699	-482.43852187883937	eL6-1
Cell_126	294	9934.885729775317	-464.78531413770247	eL2/3
Cell_127	537	9067.296395330899	-483.4840335270222	eL4
Cell_129	481	8947.835058849172	-501.53116826503924	eL2/3
Cell_131	296	10643.39586998088	-519.3427151051625	SST
Cell_132	375	2229.6226002188396	-538.5165622202328	Oligo
Cell_134	360	2784.7742473486146	-542.4450906602806	Astro-2
Cell_135	305	1263.3697005438698	-561.4461699757552	Endo
Cell_138	835	3535.085668676836	-542.8382405108194	eL6-2
Cell_139	301	3946.0989238410602	-581.9279210028383	eL6-1
Cell_140	568	7586.721425522835	-567.0376440460948	eL5
Cell_142	613	7417.800834109766	-600.3370602067528	eL5
Cell_143	205	1362.9635472888815	-590.4434941459771	Micro
Cell_144	684	8636.667563884157	-586.4473935264054	SST
Cell_145	327	9373.896543638324	-620.5926933358345	eL2/3
Cell_146	325	9657.67508261049	-615.9554935976869	eL4
Cell_147	381	1841.6568400854737	-632.9355457677381	Oligo
Cell_148	205	5819.910818514999	-603.3552327948962	Endo
Cell_149	393	10940.970249470583	-639.9638448427249	eL2/3
Cell_150	321	3404.89634551495	-635.1078405315615	Oligo
Cell_151	421	12572.14918703564	-628.1883816087003	Astro-2
Cell_152	730	4779.012954747116	-632.0201952085182	eL6-2
Cell_153	354	11057.109207400475	-643.6434381973941	eL2/3
Cell_154	372	11168.432211101	-655.3500151653018	eL6-1
Cell_155	626	4292.127796148609	-637.855281073721	eL6-2
Cell_156	221	10519.834275436791	-646.1267343268242	eL2/3
Cell_157	349	7097.4574814814805	-676.3642469135802	eL5
Cell_159	244	1671.3903292791456	-668.3987540789084	Oligo
Cell_160	676	4545.6214574898795	-676.2134362348178	eL6-1
Cell_162	569	5950.0987458046275	-673.9942589648473	eL5
Cell_163	301	6704.930770401175	-686.2334026474616	Oligo
Cell_164	209	1317.4340107891105	-692.6813448751724	Micro
Cell_165	249	3561.4000460087423	-685.5635495744191	Endo
Cell_166	253	11700.779482595957	-680.25016137842	Endo
Cell_167	584	3223.252509821039	-667.8535137494544	SST
Cell_168	442	3731.8066116994255	-680.9378687819936	eL6-2
Cell_169	318	3913.011418667482	-697.5043074884029	Micro
Cell_171	287	9213.22739018088	-708.3771486349848	eL6-1
Cell_172	454	12084.397770307649	-695.1128037104803	Endo
Cell_173	223	5614.942710180915	-711.5579401679083	eL6-1
Cell_174	401	12519.819557021678	-718.9760603204522	Endo
Cell_176	271	13014.974554225984	-719.7083195383815	Endo
Cell_177	1076	6393.110025363771	-740.7602456280872	eL6-1
Cell_178	210	13535.715902008726	-741.6231362960832	Micro
Cell_179	202	6932.335108230121	-713.6905891885635	Oligo
Cell_180	277	4401.292594859241	-732.3090575275398	eL6-1
Cell_181	275	1122.0925258204486	-730.0242620546353	Astro-2
Cell_182	527	5458.770682457187	-720.2836755559343	eL6-2
Cell_183	456	10025.159345083654	-756.3313500939429	eL5
Cell_184	423	10403.334663596828	-748.7111281657711	eL4
Cell_185	553	8280.727639181261	-770.2260491781252	eL2/3
Cell_186	462	9465.485736836172	-750.6728680422445	Micro
Cell_187	207	12132.393776983772	-790.8235075182373	Endo
Cell_188	384	4188.768833794425	-772.7336667376038	eL6-1
Cell_190	233	11060.377275296778	-778.4997173544375	Endo
Cell_191	424	9881.11054319503	-801.1502806173581	eL4
Cell_192	548	5276.054602336609	-795.4436134330548	eL6-1
Cell_193	605	8461.276511437909	-771.2752859477124	Micro
Cell_194	405	818.8129784186873	-796.3022371475134	Reln
Cell_195	308	7467.520177315806	-806.1393050035667	Reln
Cell_196	275	1440.0329164297893	-813.5073337123364	Astro-2
Cell_197	298	1555.0842368247384	-793.4481003111155	Astro-2
Cell_198	422	4648.338248919086	-791.543545398394	eL6-2
Cell_199	203	4754.171814092952	-813.9931034482759	eL6-1
Cell_200	356	6967.80464987545	-831.0357597564351	Astro-2
Cell_201	246	11574.510636913667	-817.9962917181706	Endo
Cell_203	342	2837.4873761725257	-842.3512755325678	Oligo
Cell_204	587	3234.9841057833582	-840.0728373625395	eL6-2
Cell_205	711	7907.473266692754	-831.1210202411867	eL5
Cell_206	672	9231.32137477206	-838.3152303179261	PVALB
Cell_207	646	12877.200545962418	-800.5469781615033	Endo
Cell_208	211	11373.040512739355	-842.5637495384291	Endo
Cell_209	274	13055.215065568773	-826.7362000609943	Endo
Cell_210	309	13185.68795831725	-840.0530683133925	eL2/3
Cell_211	430	4038.0562568749683	-828.5061547325964	eL5
Cell_212	313	11875.328105794091	-826.9615140083922	Endo
Cell_214	454	12336.856854838708	-839.0049395161292	Endo
Cell_215	361	5526.636273044344	-844.9705406078723	eL4
Cell_216	391	10719.623397702679	-855.1961461628099	Endo
Cell_217	446	10356.890306122448	-861.6840534085976	eL2/3
Cell_218	366	3550.542351973684	-843.359022556391	eL6-2
Cell_219	374	10953.944621983012	-875.4612732318559	Endo
Cell_220	661	8471.899555696604	-874.9891568814135	eL4
Cell_221	784	4976.649381572855	-859.7859316092334	eL6-2
Cell_222	819	12690.877985948478	-864.8534292405487	eL2/3
Cell_223	640	11714.546982947966	-886.4602851323829	eL2/3
Cell_224	290	4411.115720355349	-889.5402085747393	eL6-1
Cell_225	218	13788.879467944273	-881.0151925865221	Endo
Cell_226	370	6485.44718427191	-893.6447184271908	eL5
Cell_227	307	4637.071612249669	-900.607730070911	eL6-2
Cell_228	315	9517.001178244887	-914.0714958997078	eL4
Cell_229	321	888.5757215997626	-900.4687244935817	Astro-2
Cell_230	667	3716.0996859269458	-895.1677064062299	eL6-2
Cell_233	224	4138.465340086831	-921.8537626628076	eL6-2
Cell_234	711	8235.884081956903	-933.8971897653172	Astro-2
Cell_235	983	6364.3886380603635	-948.9359735504283	eL6-1
Cell_236	399	1004.05445609724	-910.2877265347316	SST
Cell_237	556	12384.059204840105	-932.5363625138907	Reln
Cell_238	903	12538.381911037894	-952.6380230642503	eL2/3
Cell_239	208	10618.739328828051	-977.380003465604	Astro-2
Cell_241	218	7647.799540807959	-972.912644180834	Endo
Cell_242	541	11272.80827586207	-988.9543336439888	eL2/3
Cell_243	359	10170.079534289644	-994.6602967184123	Endo
Cell_244	975	11875.101639344262	-1008.2096753455479	eL2/3
Cell_248	492	13789.853722778797	-1034.7488358967123	Endo
Cell_250	347	9584.54918115649	-1013.0953801051356	Endo
Cell_252	1020	8028.457284185229	-1024.2768912612134	Astro-1
Cell_253	791	10793.503522071647	-1036.5420300550113	eL2/3
Cell_254	452	2758.049290125933	-1040.1873746691265	Oligo
Cell_255	531	6528.879456758331	-1041.3168705355774	eL6-1
Cell_256	391	12850.602546612097	-1056.857094133697	eL6-1
Cell_257	247	7451.838360655738	-1045.0294426229511	eL6-1
Cell_258	254	11622.243741113929	-1048.0291772269272	Astro-2
Cell_259	236	9090.296832402959	-1049.5523821887575	Endo
Cell_260	420	5726.84800769277	-1047.9308251697819	eL6-2
Cell_261	269	9885.527298850577	-1062.934996516893	Endo
Cell_262	251	1158.2631078610602	-1049.030786106033	eL5
Cell_263	448	4688.951023017903	-1067.625063938619	eL6-1
Cell_264	277	10169.6361287147	-1071.7567833630717	Endo
Cell_265	376	1401.7751695608256	-1073.6066669873492	Oligo
Cell_266	582	5973.407987992996	-1080.0243892270494	eL5
Cell_267	345	2219.5365330694376	-1065.068283028204	Oligo
Cell_268	210	6861.253837342498	-1087.3738067964873	Oligo
Cell_269	691	5350.215682605034	-1092.2439880228314	eL6-2
Cell_270	499	3621.745719435266	-1094.893311304696	Astro-2
Cell_271	509	4779.453811149033	-1120.6374288964732	eL6-1
Cell_272	521	12342.631908862968	-1114.8084596097242	eL2/3
Cell_274	465	5714.3488341457	-1140.0393228823607	eL6-2
Cell_275	409	12462.33503613934	-1126.377805554046	Oligo
Cell_276	230	8655.813805871463	-1158.379925945517	Endo
Cell_277	417	3505.2885793366304	-1141.8498570715547	Oligo
Cell_278	573	4218.858736372437	-1178.4572547038767	VIP
Cell_279	259	8232.027050359713	-1137.581525179856	Astro-1
Cell_280	274	3237.8386755461506	-1155.9821995394286	eL6-2
Cell_281	269	4097.700735014573	-1167.0656444050185	Micro
Cell_283	738	4985.3519181423635	-1138.5043874932685	eL6-2
Cell_284	254	8388.112646338142	-1179.3130955622107	Endo
Cell_285	269	9025.984789508351	-1174.2736091981556	Endo
Cell_286	335	7018.495564817785	-1165.7564924655342	Oligo
Cell_288	822	11466.457379952086	-1179.7401826325474	eL2/3
Cell_289	297	1651.9758322198336	-1173.2016499157617	Oligo
Cell_290	603	10526.49812990002	-1176.5273322304538	Astro-2
Cell_291	977	11021.974076176572	-1193.6643689346633	eL2/3
Cell_292	228	6833.349398519434	-1185.31238433066	eL6-1
Cell_293	873	13748.329299796058	-1176.3699524133242	Astro-2
Cell_295	250	5269.87147044106	-1207.2169561798555	Endo
Cell_296	277	1782.2939571602717	-1199.7851047773845	Oligo
Cell_297	335	7913.049481461398	-1202.2432047719108	Endo
Cell_299	253	1410.5652382256299	-1200.8370755750275	SST
Cell_300	730	9967.59226133354	-1219.4179494069326	eL2/3
Cell_301	294	9134.174335930837	-1216.9567715147036	Endo
Cell_302	346	2631.9889615699103	-1228.5536152318655	Oligo
Cell_303	714	9536.791261403903	-1238.4927618185932	eL4
Cell_306	674	4676.9663387267265	-1257.9059273111634	eL6-1
Cell_307	501	12803.096144153225	-1233.0880166330646	eL2/3
Cell_308	330	8358.900085198668	-1266.2943226705909	Endo
Cell_309	249	7821.148222222222	-1243.6683703703704	Endo
Cell_310	249	10336.177042171406	-1238.51091533329	eL2/3
Cell_311	672	4518.31580575317	-1240.4608722548714	eL6-2
Cell_312	204	12926.94379032258	-1253.750806451613	Endo
Cell_313	296	8008.630755922279	-1264.6760713335111	Endo
Cell_315	554	3399.126559991715	-1262.722748692455	eL6-2
Cell_316	597	244.6287343732296	-1283.5447369414965	VIP
Cell_317	341	13013.608494085049	-1234.7541830970904	Micro
Cell_318	318	907.7424593101387	-1306.317455577124	Astro-1
Cell_319	501	12211.03347689898	-1270.9087705559907	Micro
Cell_320	348	1874.2156063389987	-1295.1897680293982	Oligo
Cell_321	509	3682.6929732128	-1292.338860850757	eL6-2
Cell_323	345	13102.10534591195	-1321.4647151313354	Endo
Cell_324	272	1420.7231046750517	-1323.8061331863507	Astro-2
Cell_325	700	12084.743488519829	-1292.0264089300301	eL6-2
Cell_326	534	9336.888855204821	-1318.031641972034	eL4
Cell_328	674	4339.851014514781	-1319.2253970666466	eL6-2
Cell_329	694	5111.3915163528245	-1358.1383548067392	eL6-2
Cell_330	696	10808.13406170005	-1349.8987148022065	eL4
Cell_331	771	11487.258774970069	-1343.8830109017579	eL2/3
Cell_332	423	12785.843337541604	-1335.4775048777688	Endo
Cell_333	282	2678.3182706544267	-1336.9607936037905	Oligo
Cell_334	273	7341.835791327317	-1349.8813559322036	Oligo
Cell_336	403	4549.232661121418	-1361.5315660343485	eL6-2
Cell_338	720	5286.568024657209	-1359.0026079740785	eL6-2
Cell_339	603	7801.812566813161	-1377.1052381517995	eL5
Cell_340	384	520.6127119039836	-1356.9005744174099	Astro-2
Cell_341	205	11263.332696206198	-1382.350651607298	Micro
Cell_342	672	12231.851927946867	-1400.6383964833483	PVALB
Cell_343	237	3418.4048114048114	-1402.9916097416094	eL6-1
Cell_345	359	1884.8684348586414	-1420.5523754007581	Oligo
Cell_347	467	3651.897558775441	-1431.5226926763266	eL6-2
Cell_348	254	12515.65684088044	-1408.8456317269465	Endo
Cell_349	207	12814.775857621873	-1427.9007823918835	Endo
Cell_350	234	8606.801302594851	-1439.087770081671	eL4
Cell_351	524	11921.279118102537	-1448.923017360828	eL4
Cell_352	214	1381.7812342074235	-1457.6785333258465	Oligo
Cell_353	202	6039.782731413176	-1478.4570530502274	Endo
Cell_354	301	9338.68210351012	-1460.4029592621064	eL4
Cell_356	540	4828.046897408929	-1483.0851419829812	eL6-2
Cell_357	511	9021.601371815428	-1493.9685551398538	eL4
Cell_358	208	10070.065643648764	-1512.1239556692242	eL4
Cell_359	459	8652.023365617433	-1512.2102300242132	eL4
Cell_361	661	3892.744397033846	-1507.4135631136335	eL6-2
Cell_362	207	5940.649929720445	-1522.7412931438391	Astro-1
Cell_363	356	3372.3893036801696	-1520.3337039978821	Astro-2
Cell_365	258	5579.130817542541	-1514.1553491867521	Astro-2
Cell_366	647	12309.481344291391	-1523.199405795424	eL2/3
Cell_367	828	6613.906113865104	-1529.3347979570374	eL5
Cell_368	626	13328.381576046217	-1542.7372668342373	Reln
Cell_369	319	7285.562084384315	-1527.72500573263	eL5
Cell_370	740	11480.571652224571	-1544.270006553557	eL2/3
Cell_371	217	2670.02129210266	-1551.7145608829196	Smc
Cell_372	418	5232.357457993055	-1552.6270064770486	Astro-2
Cell_373	233	7951.528514180024	-1548.5387638717632	PVALB
Cell_374	305	9329.186835511613	-1559.2030879664114	eL4
Cell_375	275	10198.444671111554	-1568.58717285302	Endo
Cell_377	401	8815.330976040968	-1574.9546424434554	eL4
Cell_378	661	1263.9676511954992	-1584.2507383966245	eL5
Cell_379	533	4811.229307944493	-1601.9833834822832	Oligo
Cell_380	231	7712.822645208726	-1590.6856465975004	PVALB
Cell_381	624	6921.35606120047	-1594.4918399372302	VIP
Cell_382	893	6774.151265250791	-1587.3880855550533	eL5
Cell_383	414	10561.55147405105	-1604.5712065555242	eL2/3
Cell_384	347	1630.314853123707	-1605.2841184467165	Astro-2
Cell_385	227	4273.595708472069	-1617.9510173880874	eL6-2
Cell_386	306	1891.352522068096	-1631.1255359394704	Oligo
Cell_387	296	8604.25672490294	-1641.9932057681644	eL4
Cell_388	659	12538.948207171316	-1650.7361802788846	eL2/3
Cell_389	318	7384.247604491212	-1664.4267238845453	eL5
Cell_390	384	9048.916102136529	-1656.910512103842	eL4
Cell_391	348	11095.62515921944	-1657.234778621287	eL6-1
Cell_392	701	12375.602452775835	-1663.4284949997946	eL2/3
Cell_393	349	8721.750589885849	-1658.3615840826476	eL4
Cell_395	288	10370.918618988902	-1666.2062938937436	Endo
Cell_396	1027	11912.445192030033	-1668.4719896043896	eL2/3
Cell_397	449	6650.4467858095495	-1672.9958388903708	eL5
Cell_398	672	400.7796357439557	-1686.336031526254	HPC
Cell_399	244	5471.524020694753	-1693.791512687854	Micro
Cell_400	334	10638.058233159449	-1695.1551372193244	eL6-1
Cell_401	547	3419.9983596719344	-1726.070774154831	Oligo
Cell_403	254	1471.2128239350461	-1712.6989767545324	Oligo
Cell_404	1133	7607.075434584839	-1729.914509109685	Astro-1
Cell_405	448	1831.4354441464616	-1723.4058343823544	Oligo
Cell_406	780	5065.355604680413	-1720.8317261882073	eL6-2
Cell_407	226	2349.474271378243	-1720.2228034589514	Oligo
Cell_408	670	12812.437598142964	-1741.9230900525704	Micro
Cell_409	628	9733.717967825363	-1736.826853110069	eL4
Cell_410	612	4820.262720426157	-1761.05239713446	eL6-2
Cell_411	550	3513.174202923327	-1762.3725104709806	eL6-2
Cell_412	768	733.2044486082988	-1771.3279639759437	HPC
Cell_413	393	8600.527366825241	-1774.0475194730514	eL4
Cell_414	668	4057.067257627265	-1769.6167649210379	eL6-1
Cell_415	306	6136.4003870967745	-1775.3680645161292	Oligo
Cell_417	418	10084.821558089743	-1763.1215100275265	PVALB
Cell_418	536	4429.864528895429	-1793.2527779187176	eL6-1
Cell_419	582	9595.376568136542	-1791.3767296613364	eL6-1
Cell_420	256	204.1443283279221	-1795.1033887987012	Micro
Cell_421	459	3672.704542409219	-1792.4679753450355	eL6-2
Cell_422	335	10459.302942019294	-1792.1985385423634	eL5
Cell_423	747	5896.952767476034	-1780.5055629417113	Astro-2
Cell_424	278	4560.327047146402	-1782.5743353420773	Micro
Cell_425	283	5415.581635128578	-1823.507459970888	HPC
Cell_426	380	6628.4957377424325	-1848.1031523542536	eL5
Cell_428	306	11077.685434516523	-1823.6418715923	eL6-1
Cell_429	643	10945.871798263017	-1827.3464709253626	eL2/3
Cell_430	686	12398.754018852429	-1850.6793131771426	eL2/3
Cell_431	379	2935.454494565471	-1864.351121892056	Astro-2
Cell_433	1094	11521.912485035913	-1855.559806464485	eL2/3
Cell_434	580	3673.2362827270367	-1916.2506264581355	eL6-2
Cell_435	203	4553.741418145779	-1882.765294170646	Micro
Cell_436	217	7434.632677140906	-1879.2082220704215	Endo
Cell_437	266	6522.6623754996945	-1887.0981773832918	Astro-2
Cell_438	850	9102.99012175511	-1894.6172371544528	PVALB
Cell_439	210	9521.011093890203	-1887.813524757321	Endo
Cell_440	317	1536.7712510590231	-1891.643547020616	Oligo
Cell_441	579	13458.360749759693	-1876.3920858699132	Astro-2
Cell_442	702	3242.135306712745	-1879.9758461365088	eL6-2
Cell_443	225	7074.874133575177	-1912.112262745352	Astro-1
Cell_444	547	11999.200987188733	-1906.7081692640447	VIP
Cell_446	394	8733.114543422733	-1890.6914112388247	Endo
Cell_447	555	8474.954367841905	-1922.1116101504606	eL4
Cell_448	533	6337.715992209479	-1926.7234364856088	SST
Cell_449	569	4077.5133860172573	-1944.415974518184	eL6-2
Cell_450	282	8905.059566672984	-1946.883203840566	eL4
Cell_451	240	2229.736591333462	-1914.5755585602988	Oligo
Cell_452	614	4247.094197583291	-1951.053044048952	eL6-1
Cell_453	332	8262.113869907673	-1938.938500860675	Astro-2
Cell_454	602	10193.01467637222	-1947.499547511312	eL2/3
Cell_455	278	2129.236849648846	-1940.4930485882185	Astro-2
Cell_456	220	5990.443538355217	-1951.1027643400141	Astro-2
Cell_457	276	11876.677513711153	-1965.2455210237658	VIP
Cell_458	523	13693.87027148306	-1979.586538030065	Endo
Cell_459	453	13803.298437071566	-1978.0406909788867	Astro-2
Cell_460	616	8074.151013617058	-1971.4722623582468	eL4
Cell_461	511	1327.4412436755345	-1995.0072221315488	Oligo
Cell_462	251	9605.875577206069	-2014.5757852539707	Oligo
Cell_463	661	12071.3768993552	-2002.1645079899076	VIP
Cell_464	493	1674.5398886827459	-2012.0047928262213	Oligo
Cell_465	1021	11673.334576106336	-2048.1997622521208	eL2/3
Cell_466	293	2221.314025571484	-2048.078264238667	Oligo
Cell_467	809	12249.327046035804	-2019.002628587667	SST
Cell_468	261	2522.381536066929	-2026.619047619048	Endo
Cell_470	779	9914.660955638134	-2043.864086290243	eL4
Cell_471	301	2086.1667300139366	-2050.7697960217915	Oligo
Cell_472	692	5163.644534376946	-2058.5639953749	PVALB
Cell_473	947	12614.597120523991	-2083.2944974820034	eL2/3
Cell_474	425	3174.1782348346783	-2071.441655818797	eL6-2
Cell_476	733	4701.313734798963	-2088.9599751670744	eL6-2
Cell_477	517	6500.3934709842415	-2062.2763548835987	Micro
Cell_478	707	11264.252663549149	-2100.9192016583906	eL2/3
Cell_480	327	9130.210666946088	-2110.9741185099806	eL4
Cell_481	1086	10750.387593222124	-2129.2167233246373	PVALB
Cell_482	446	3428.0169431835966	-2106.3017295351387	eL6-2
Cell_483	477	337.5853822716644	-2104.651668674272	HPC
Cell_484	316	12088.098012078508	-2121.443256165073	SST
Cell_485	460	3812.059185918592	-2124.0699669967003	eL6-2
Cell_486	551	5413.996319292114	-2132.8005725545604	eL6-1
Cell_487	467	8682.971725193762	-2126.9429719644054	PVALB
Cell_488	629	10433.53763899367	-2137.1695804769247	eL2/3
Cell_489	624	12316.578089530554	-2127.0053119041127	eL4
Cell_493	520	11364.6960888216	-2163.473832954832	Oligo
Cell_494	269	11064.726384708802	-2149.4633296372563	eL2/3
Cell_495	278	2620.13862968723	-2182.8433125972006	Oligo
Cell_496	502	8496.021765913758	-2185.2718685831624	eL4
Cell_497	280	12201.394696738798	-2176.772833485726	eL2/3
Cell_498	225	6304.2727411090245	-2183.4504084014	Micro
Cell_500	669	5189.623860157356	-2246.767949435428	eL6-2
Cell_501	364	3177.2049806178784	-2189.509691060731	Astro-2
Cell_503	863	13042.421541944	-2206.336791613894	Reln
Cell_504	494	3705.1120896717375	-2216.756605284228	eL6-2
Cell_505	502	9477.672614832647	-2217.9689373554265	eL4
Cell_506	1168	7248.250865392733	-2222.635944052008	eL5
Cell_507	501	7624.078644475637	-2212.610266693403	eL4
Cell_508	304	2081.3231816079806	-2257.276474862919	Oligo
Cell_509	520	8784.93323505635	-2217.8636169099814	eL4
Cell_510	624	4035.588924802368	-2205.416488181004	eL6-2
Cell_511	801	11604.559972700903	-2249.071796621737	eL2/3
Cell_512	405	3560.021199402433	-2230.532759479263	eL6-2
Cell_514	554	6576.766605363329	-2262.367477866644	eL6-1
Cell_515	882	12233.935237588788	-2282.498119800965	eL2/3
Cell_516	563	10307.7912354021	-2276.357497168301	eL4
Cell_517	262	6417.2165647214415	-2279.929575136386	Endo
Cell_518	230	1581.4925633206797	-2294.6060115750824	Oligo
Cell_519	445	10558.718125372121	-2298.1801054690827	eL2/3
Cell_520	1221	6947.637525399662	-2306.617523930766	Astro-1
Cell_521	314	9010.966353174836	-2302.794322098253	eL4
Cell_522	222	3166.387577738797	-2301.763275394674	Endo
Cell_523	1165	12545.926479971644	-2277.1313954862344	eL2/3
Cell_524	662	3356.3993684210527	-2300.6416842105264	eL6-2
Cell_525	360	3607.285243249969	-2318.8582182406367	eL6-2
Cell_527	236	9188.23651235642	-2302.8447035618983	Endo
Cell_528	261	1357.3006037496027	-2342.230695900858	Astro-2
Cell_529	562	8217.042637122833	-2311.1021444458434	eL4
Cell_530	520	9380.86202759448	-2317.1535692861426	eL4
Cell_531	595	9794.00145658846	-2320.6014149716484	eL4
Cell_532	637	11382.334001359912	-2373.467845256415	eL4
Cell_534	604	4021.1535896529076	-2358.057090890719	eL6-2
Cell_535	207	1433.9199215558099	-2363.556545187122	Oligo
Cell_536	508	10183.901622498648	-2359.514169821525	eL4
Cell_537	390	12979.17099544702	-2367.4846854304637	Astro-2
Cell_538	280	2676.5566769792567	-2385.187655322818	Oligo
Cell_539	1049	6299.526419146978	-2384.8474071801165	eL5
Cell_540	233	10913.24751222318	-2382.218521714121	eL4
Cell_541	691	3861.974471728218	-2394.6819473090245	eL6-2
